property_name,group
Old Ken Road,brown
Whitechapel Road,brown
The Shire,fantasy
Kings Cross Station,stations
"The Angel, Islington",light_blue
Euston Road,light_blue
Pentonville Road,light_blue
Pall Mall,pink
Electric Company,utilities
Whitehall,pink
Northumberland Avenue,pink
Marylebone Station,stations
Bow Street,orange
Marlborough Street,orange
Vine Street,orange
Strand,red
Fleet Street,red
Trafalgar Square,red
Fenchurch St Station,stations
Leicester Square,yellow
Coventry Street,yellow
Water Works,utilities
Piccadilly,yellow
Regent Street,green
Oxford Street,green
Bond Street,green
Liverpool Street Station,stations
Park Lane,dark_blue
Mayfair,dark_blue
