category,calories,fats_g,sugars_g,nutri_score,proteins_g
seafood,117,9,0,,10
seafood,201,6,1,,10
fruit,59,1,14,,10
meat,97,6,0,,10
meat,124,12,1,,10
meat,113,11,1,,10
vegetables,30,1,1,,10
seafood,191,6,1,,10
vegetables,35,0.4,0,,10
vegetables,21,0,2,,10
seafood,121,1.5,0,,10
seafood,125,5,1,,10
vegetables,21,0,3,,10
seafood,142,5,0,,10
meat,118,7,1,,10
fruit,61,0,12,,10
fruit,33,1,4,,10
vegetables,31,0,6,,10
meat,109,7,2,,10
vegetables,22,0,1,,10
fruit,31,0,2,,10
vegetables,22,0,2,,10
seafood,155,5,0,,10
fruit,133,0,27,,10
seafood,205,9,0,,10
fruit,72,4.5,7,,10
fruit,60,1,7,,10
